W,T,R
0.61,0.9696729999999999,0.030323600000000003
0.611,0.9695731000000001,0.030335
0.612,0.9693124000000001,0.0306845
0.613,0.9687448000000001,0.0311066
0.614,0.9686368000000001,0.0313599
0.615,0.9686104,0.031386
0.616,0.9683395,0.0313551
0.617,0.9684737,0.0315234
0.618,0.9677173,0.0319436
0.619,0.9674442000000001,0.0325524
0.62,0.9668954,0.0331015
0.621,0.9666049999999999,0.0333916
0.622,0.9666476,0.0333491
0.623,0.9667147,0.0330962
0.624,0.9670795,0.032917100000000005
0.625,0.9667733,0.0329992
0.626,0.9666722,0.033324
0.627,0.9664104,0.0335866
0.628,0.9665052,0.0334914
0.629,0.9670283000000001,0.032968000000000004
0.63,0.9676305000000001,0.0322184
0.631,0.968446,0.031551300000000004
0.632,0.9688641,0.031133099999999997
0.633,0.9690135999999999,0.0309837
0.634,0.9688966000000001,0.031045
0.635,0.9686703,0.0312681
0.636,0.9684155,0.0315815
0.637,0.9681538999999999,0.0318431
0.638,0.9680934999999999,0.0319034
0.639,0.9680942,0.0317403
0.64,0.9684702000000001,0.0315267
0.641,0.9685524,0.0314441
0.642,0.9684218,0.0315314
0.643,0.9683620999999999,0.031634699999999995
0.644,0.9683924,0.031559699999999996
0.645,0.9687005999999999,0.0312959
0.646,0.9688800999999999,0.0310112
0.647,0.9691122,0.030884900000000003
0.648,0.9690737,0.0309234
0.649,0.9689871,0.031009799999999997
0.65,0.9689477,0.0310494
0.651,0.9689035,0.0310934
0.652,0.9687398,0.0312568
0.653,0.9684573000000001,0.0315401
0.654,0.9682187999999999,0.031778
0.655,0.9682227,0.0317739
0.656,0.9684895,0.0315076
0.657,0.9688055,0.0311913
0.658,0.9689305,0.031066899999999998
0.659,0.9688319,0.031164800000000003
0.66,0.9687317,0.0312652
0.661,0.968883,0.0311141
0.662,0.9693044999999999,0.030692900000000002
0.663,0.9697197,0.0302778
0.664,0.9698042,0.0301932
0.665,0.9694744,0.030522399999999998
0.666,0.968952,0.0310448
0.667,0.9685786000000001,0.0314183
0.668,0.9685282,0.0314688
0.669,0.9686559,0.0313409
0.67,0.9686674,0.031329699999999995
0.671,0.9683936,0.031604
0.672,0.9679333,0.0320636
